Month_Num,Month,Revenue,Profit,Revenue_Change_pct,Profit_Change_pct,Revenue_Alert,Profit_Alert
1,January,18941328.16,5752837.275899655,,,False,False
2,February,17959172.58,5330132.202939238,-5.1852519089664595,-7.347766896367014,True,True
3,March,17929052.92,5298818.4894747855,-0.16771184677817352,-0.5874847428209207,False,False
4,April,18235814.58,5485318.52099712,1.7109752610401596,3.51965314329572,False,False
5,May,17947071.89,5382504.376065144,-1.5833824627536797,-1.8743514080069579,False,False
6,June,18048931.27,5444764.742124497,0.5675543098300873,1.1567174257435031,False,False
7,July,17626297.79,5276559.224057321,-2.3415983676688956,-3.089307362829108,False,False
8,August,17465491.7,5287020.576318869,-0.9123078023294817,0.19826087071763698,False,False
9,September,18037660.54,5368993.776883232,3.275996174788487,1.5504611601386609,False,False
10,October,17804682.64,5337610.256934299,-1.2916192733716803,-0.5845326192043365,False,False
11,November,18258601.8,5517589.929398572,2.549436960927487,3.371914842048551,False,False
12,December,351974779.04,105466011.28824596,1827.7203309182194,1811.4506992682936,False,False
